Student Number;BES 220 (S2);BSS 310 (S1);CHM 171 (S1);CHM 172 (S2);CIL 111 (S1);CIL 121 (S2);EBN 111 (S1);EBN 122 (S2);EIR 221 (S2);FSK 116 (S1);FSK 176 (S2);JCP 203 (Y);JPO 110 (S1);JPO 112 (S1);JPO 113 (S1);JPO 116 (S1);JPO 120 (S2);JPO 123 (S2);JPO 125 (S2);JPO 126 (S2);MGC 110 (S1);MIA 320 (S2);MJJ 210 (S1);MKM 321 (S2);MOW 217 (S1);MOW 227 (S2);MOW 312 (S1);MOW 323 (S2);MPR 213 (S1);MPY 315 (S1);MSD 210 (S1);MSY 310 (S1);MTV 310 (S1);MTX 221 (S2);MTX 311 (S1);MVR 320 (S2);NMC 113 (S1);NMC 123 (S2);SNV 111 (S1);SNV 121 (S2);SWK 122 (R) (S2);SWK 122 (S2);SWK 210 (S1);SWP 121 (S2);WTW 158 (S1);WTW 161 (S2);WTW 168 (R) (S2);WTW 168 (S2);WTW 238 (R) (S2);WTW 238 (S2);WTW 256 (S1);WTW 258 (R) (S1);WTW 258 (S1);WTW 263 (S2);WWP 121 (S2);Target
10374508;50.0;;36.0;69.0;55.0;59.0;;51.0;;;56.0;69.0;;;;;;;;;38.0;;;;;;;;45.0;;;;;;;;50.0;;;;;57.0;39.0;0.0;60.0;60.0;;55.0;51.0;40.0;54.0;;59.0;54.0;;Graduated_2
10374982;50.0;54.0;44.0;39.0;;;42.0;43.0;55.0;50.0;;75.0;50.0;59.0;50.0;57.0;53.0;56.0;52.0;75.0;50.0;50.0;;;;;;;43.0;;50.0;;50.0;;;;38.0;67.0;;;60.0;34.0;;;59.0;37.0;;52.0;;50.0;50.0;;50.0;42.0;0.0;Graduated_3
10381882;50.0;55.0;;58.0;;;38.0;62.0;41.0;60.0;;75.0;70.0;50.0;58.0;81.0;64.0;53.0;50.0;72.0;62.0;72.0;54.0;50.0;57.0;50.0;40.0;50.0;0.0;0.0;50.0;57.0;40.0;39.0;50.0;50.0;;0.0;;;50.0;30.0;;;70.0;40.0;65.0;43.0;;51.0;50.0;50.0;40.0;62.0;0.0;Active (BEng)
10394088;51.0;50.0;63.0;;57.0;66.0;;55.0;;;53.0;84.0;;;;;;;;;50.0;;;;;;;;;;;;;;;;51.0;;;;0.0;42.0;;;65.0;63.0;;53.0;;0.0;51.0;53.0;39.0;53.0;;Discontinued
10403664;;;;0.0;66.0;0.0;35.0;;;32.0;;;;;;;;;;;32.0;;;;;;;;;;;;;;;;;0.0;35.0;;;;;;27.0;0.0;;;;;;;;;0.0;Discontinued
10409085;51.0;58.0;;55.0;55.0;65.0;53.0;;;57.0;;75.0;;;;;;;;;50.0;66.0;;;51.0;;;;50.0;;45.0;;;55.0;;;50.0;;90.0;;61.0;32.0;;;67.0;58.0;;54.0;64.0;31.0;54.0;;50.0;45.0;0.0;Graduated_1
10416821;55.0;39.0;;51.0;;76.0;50.0;;;55.0;;75.0;;;;;;;;;63.0;63.0;;;44.0;;;;76.0;;53.0;;;37.0;;;50.0;0.0;79.0;69.0;;51.0;;;63.0;50.0;;50.0;71.0;41.0;40.0;72.0;30.0;52.0;0.0;Graduated_1
10418149;0.0;;50.0;;67.0;75.0;;29.0;;;54.0;69.0;;;;;;;;;34.0;;;;;;;;;;;;;0.0;;;39.0;;;;;0.0;;;51.0;57.0;65.0;41.0;;;0.0;;;0.0;;Discontinued
10433326;51.0;;50.0;;;;33.0;50.0;;;50.0;65.0;55.0;50.0;62.0;50.0;46.0;45.0;57.0;59.0;60.0;;;;;;;;43.0;;;;;;;;;50.0;;;;50.0;42.0;0.0;53.0;53.0;51.0;43.0;;50.0;37.0;62.0;40.0;35.0;;Graduated_3
10445189;;;;;;;;58.0;;;66.0;;;;;;;;;;73.0;;;;;;;;;;;;;;;;50.0;;;;;50.0;;0.0;90.0;88.0;;75.0;;;;;;;;Discontinued
10452509;;;;35.0;;;;;;0.0;45.0;;50.0;;;59.0;61.0;;;61.0;;;;;;;;;;;;;;;;;;;;;;;;;24.0;52.0;;34.0;;;;;;;0.0;Discontinued
10462466;0.0;;50.0;;;;30.0;;;;50.0;75.0;50.0;41.0;50.0;67.0;50.0;36.0;38.0;55.0;47.0;;;;;;;;;;;;;0.0;;;0.0;0.0;;;0.0;32.0;;;56.0;50.0;;50.0;0.0;0.0;50.0;68.0;40.0;40.0;0.0;Discontinued
10466003;67.0;54.0;62.0;;55.0;75.0;;69.0;;;64.0;81.0;;;;;;;;;53.0;67.0;;;;;;;64.0;;68.0;;76.0;59.0;;;50.0;;59.0;68.0;;50.0;57.0;;63.0;80.0;;55.0;;58.0;62.0;67.0;43.0;50.0;;Graduated_1
10468902;50.0;52.0;30.0;58.0;59.0;76.0;;56.0;;;62.0;73.0;;;;;;;;;53.0;40.0;;;;;;;;;50.0;;;;;;50.0;;53.0;;;73.0;;;72.0;55.0;;56.0;;52.0;46.0;59.0;0.0;50.0;;Active (BEng)
10474626;50.0;71.0;;60.0;;71.0;57.0;;54.0;63.0;;70.0;;;;;;;;;62.0;65.0;80.0;82.0;57.0;67.0;66.0;70.0;61.0;0.0;78.0;66.0;79.0;75.0;75.0;73.0;;50.0;61.0;63.0;;55.0;;;83.0;81.0;;64.0;;76.0;69.0;;69.0;71.0;0.0;Graduated_0
10480529;33.0;;50.0;;74.0;76.0;;52.0;;;62.0;84.0;;;;;;;;;54.0;;;;;;;;50.0;;;;;;;;50.0;;;;;39.0;36.0;;65.0;50.0;;50.0;;50.0;41.0;54.0;32.0;45.0;;Active (BEng)
10480961;64.0;58.0;;63.0;;78.0;51.0;;57.0;65.0;;98.0;;;;;;;;;63.0;62.0;;61.0;56.0;67.0;51.0;59.0;56.0;0.0;60.0;42.0;0.0;50.0;0.0;50.0;50.0;;62.0;75.0;80.0;;;;70.0;56.0;;50.0;;60.0;51.0;63.0;40.0;60.0;0.0;Active (BEng)
10483722;33.0;;40.0;41.0;;76.0;;38.0;;;50.0;;;;;;;;;;37.0;;;;;;;;;;;;;;;;42.0;;60.0;68.0;;;;;44.0;37.0;54.0;32.0;;;;39.0;40.0;;0.0;Discontinued
10487680;46.0;;;34.0;;;53.0;;;31.0;59.0;94.0;64.0;56.0;69.0;51.0;62.0;42.0;50.0;51.0;66.0;;56.0;;39.0;;;;31.0;;39.0;;;;;;;43.0;;;;;;;24.0;0.0;76.0;42.0;;;0.0;;0.0;;0.0;Discontinued
10491164;55.0;56.0;;56.0;85.0;71.0;55.0;;;61.0;;85.0;;;;;;;;;60.0;68.0;;;55.0;;;;50.0;;50.0;;;73.0;;;58.0;44.0;83.0;;63.0;38.0;;;75.0;61.0;;62.0;;56.0;71.0;;71.0;59.0;0.0;Graduated_1
10498908;0.0;0.0;56.0;;78.0;70.0;;52.0;39.0;;64.0;81.0;;;;;;;;;65.0;67.0;;;;;;;50.0;;42.0;;41.0;;;;50.0;;65.0;;56.0;37.0;;;68.0;54.0;55.0;43.0;59.0;36.0;41.0;;56.0;50.0;0.0;Graduated_2
10511921;43.0;52.0;;41.0;;;58.0;;51.0;53.0;;96.0;51.0;63.0;65.0;52.0;51.0;51.0;64.0;57.0;64.0;72.0;60.0;51.0;59.0;57.0;51.0;56.0;50.0;0.0;54.0;60.0;55.0;55.0;60.0;50.0;50.0;;;;44.0;35.0;;;50.0;46.0;59.0;48.0;;50.0;53.0;69.0;36.0;44.0;0.0;Graduated_3
10522982;56.0;52.0;;64.0;;78.0;51.0;;55.0;75.0;;75.0;;;;;;;;;68.0;75.0;80.0;50.0;57.0;59.0;60.0;58.0;71.0;0.0;54.0;51.0;54.0;64.0;62.0;56.0;;50.0;82.0;59.0;;;;;68.0;58.0;;50.0;;60.0;50.0;60.0;39.0;52.0;0.0;Graduated_1
10541323;51.0;36.0;59.0;;;75.0;;66.0;55.0;64.0;;94.0;;;;;;;;;39.0;70.0;;;;;;;55.0;;;;;;;;;;52.0;57.0;66.0;43.0;52.0;;77.0;83.0;;75.0;;64.0;68.0;;52.0;63.0;0.0;Graduated_2
10553802;38.0;;;50.0;;;68.0;;;50.0;;75.0;53.0;56.0;50.0;62.0;57.0;56.0;54.0;57.0;62.0;;;;;;;;;;36.0;;;29.0;;;50.0;38.0;;;50.0;43.0;;;50.0;33.0;54.0;36.0;;;35.0;32.0;0.0;0.0;;Discontinued
10557645;68.0;70.0;;53.0;82.0;77.0;50.0;;;54.0;;99.0;;;;;;;;;51.0;76.0;;;54.0;;;;59.0;;57.0;;;64.0;;;52.0;;91.0;58.0;67.0;;;;55.0;68.0;;50.0;;63.0;55.0;;50.0;63.0;0.0;Graduated_1
10567888;50.0;54.0;;68.0;81.0;77.0;60.0;;63.0;57.0;;98.0;;;;;;;;;60.0;65.0;75.0;59.0;57.0;62.0;50.0;70.0;54.0;0.0;50.0;65.0;72.0;60.0;64.0;62.0;58.0;45.0;85.0;73.0;;;;;72.0;83.0;;63.0;;61.0;53.0;;69.0;68.0;0.0;Graduated_1
