Student Number;BES 220 (S2);BSS 310 (S1);CHM 171 (S1);CHM 172 (S2);CIL 111 (S1);CIL 121 (S2);EBN 111 (S1);EBN 122 (S2);EIR 221 (S2);FSK 116 (S1);FSK 176 (S2);JCP 203 (Y);JPO 110 (S1);JPO 112 (S1);JPO 113 (S1);JPO 116 (S1);JPO 120 (S2);JPO 123 (S2);JPO 125 (S2);JPO 126 (S2);MGC 110 (S1);MIA 320 (S2);MJJ 210 (S1);MKM 321 (S2);MOW 217 (S1);MOW 227 (S2);MOW 312 (S1);MOW 323 (S2);MPR 213 (S1);MPY 315 (S1);MSD 210 (S1);MSY 310 (S1);MTV 310 (S1);MTX 221 (S2);MTX 311 (S1);MVR 320 (S2);NMC 113 (S1);NMC 123 (S2);SNV 111 (S1);SNV 121 (S2);SWK 122 (R) (S2);SWK 122 (S2);SWK 210 (S1);SWP 121 (S2);WTW 158 (S1);WTW 161 (S2);WTW 168 (R) (S2);WTW 168 (S2);WTW 238 (R) (S2);WTW 238 (S2);WTW 256 (S1);WTW 258 (R) (S1);WTW 258 (S1);WTW 263 (S2);WWP 121 (S2);Target
11067579;31.0;63.0;;50.0;;;54.0;;42.0;50.0;;82.0;61.0;52.0;57.0;54.0;62.0;50.0;56.0;53.0;56.0;65.0;62.0;51.0;57.0;56.0;50.0;59.0;51.0;0.0;64.0;50.0;50.0;55.0;64.0;73.0;54.0;42.0;;;;43.0;;;55.0;50.0;;50.0;61.0;41.0;50.0;69.0;40.0;54.0;0.0;Graduated_2
11067609;58.0;58.0;;50.0;68.0;71.0;53.0;;50.0;50.0;;83.0;;;;;;;;;69.0;70.0;83.0;59.0;57.0;65.0;56.0;66.0;64.0;0.0;41.0;55.0;55.0;65.0;50.0;72.0;56.0;0.0;67.0;66.0;;58.0;;;50.0;54.0;64.0;34.0;;55.0;33.0;67.0;43.0;50.0;0.0;Graduated_2
11068478;;;29.0;;;;;;;;36.0;;56.0;;;50.0;53.0;;;34.0;;;;;;;;;;;;;;;;;;;;;;;;;;40.0;;;;;;;;;0.0;Discontinued
11068656;50.0;59.0;69.0;;72.0;67.0;;60.0;44.0;57.0;;76.0;;;;;;;;;69.0;71.0;;;;;;;62.0;;;;;;;;;;76.0;75.0;61.0;38.0;46.0;;68.0;82.0;;59.0;;53.0;45.0;;50.0;68.0;0.0;Discontinued
11068745;70.0;79.0;;51.0;;83.0;50.0;;;56.0;;99.0;;;;;;;;;55.0;72.0;;;62.0;;;;54.0;;62.0;;;60.0;;;56.0;42.0;66.0;59.0;;64.0;;;51.0;66.0;;50.0;;50.0;50.0;;59.0;55.0;0.0;Graduated_1
11068770;;;26.0;;;68.0;;52.0;;;43.0;;;;;;;;;;71.0;;;;;;;;;;;;;;;;30.0;;;;;;;0.0;56.0;60.0;;40.0;;;;;;;;Discontinued
11068788;40.0;52.0;;40.0;80.0;72.0;50.0;;60.0;51.0;;80.0;;;;;;;;;68.0;63.0;56.0;50.0;52.0;61.0;65.0;67.0;71.0;0.0;50.0;59.0;53.0;61.0;51.0;67.0;;50.0;41.0;;;35.0;;;64.0;61.0;;50.0;73.0;40.0;58.0;;50.0;54.0;0.0;Graduated_1
11069092;55.0;;52.0;;;;66.0;;;;57.0;68.0;59.0;70.0;61.0;69.0;69.0;56.0;71.0;80.0;73.0;;;;;;;;64.0;;;;;;;;;50.0;;;;56.0;58.0;0.0;51.0;55.0;;58.0;;50.0;36.0;;50.0;34.0;;Active (BEng)
11069768;;;;;;;;;;;;;37.0;;;38.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.0;;;;;;;;;;;Graduated (T)
11070154;35.0;;56.0;;;;50.0;;;;55.0;93.0;63.0;58.0;63.0;73.0;60.0;50.0;66.0;76.0;64.0;;;;;;;;56.0;;;;;;;;;39.0;;;;51.0;34.0;0.0;68.0;58.0;;50.0;62.0;43.0;50.0;66.0;45.0;57.0;;Graduated_2
11071100;87.0;87.0;;91.0;76.0;83.0;75.0;;;85.0;;99.0;;;;;;;;;72.0;77.0;;;64.0;;;;82.0;;78.0;;;77.0;;;;67.0;94.0;62.0;;75.0;;;89.0;97.0;;85.0;;83.0;77.0;;75.0;88.0;0.0;Graduated_0
11071207;67.0;;50.0;;;;62.0;;;;50.0;76.0;50.0;56.0;57.0;64.0;55.0;50.0;54.0;53.0;62.0;;;;;;;;57.0;;;;;;;;;39.0;;;;54.0;50.0;0.0;58.0;55.0;;50.0;;50.0;59.0;;50.0;51.0;;Graduated_1
11071215;66.0;64.0;67.0;;;78.0;;64.0;61.0;58.0;;96.0;;;;;;;;;67.0;69.0;;;;;;;86.0;;;;;;;;;;68.0;63.0;;;73.0;;53.0;71.0;;50.0;;72.0;65.0;;70.0;62.0;0.0;Graduated_0
11071240;37.0;;51.0;;;;50.0;;;;50.0;71.0;59.0;54.0;59.0;52.0;60.0;45.0;50.0;63.0;62.0;;;;;;;;48.0;;;;;46.0;;;37.0;0.0;;;41.0;40.0;;0.0;33.0;40.0;;54.0;47.0;40.0;50.0;;54.0;57.0;;Discontinued
11071576;;54.0;;;85.0;70.0;34.0;50.0;;;55.0;96.0;;;;;;;;;;67.0;;;;;;;;;;;;;;;50.0;;71.0;66.0;;;;;50.0;0.0;60.0;35.0;;58.0;50.0;;53.0;56.0;;Active (BEng)
11071712;39.0;57.0;;61.0;;;61.0;;;50.0;;89.0;63.0;62.0;73.0;67.0;70.0;62.0;61.0;72.0;70.0;69.0;;;44.0;;;;50.0;;43.0;;;69.0;;;54.0;44.0;;;53.0;44.0;;;62.0;58.0;;51.0;62.0;41.0;60.0;;54.0;59.0;0.0;Graduated_2
11071843;57.0;75.0;58.0;;66.0;71.0;;63.0;61.0;65.0;;75.0;;;;;;;;;29.0;77.0;;;;;;;65.0;;;;;;;;;;75.0;68.0;;;54.0;;83.0;76.0;;69.0;;63.0;60.0;;59.0;69.0;0.0;Graduated_1
11071908;30.0;;;47.0;;;53.0;;;54.0;;69.0;55.0;55.0;54.0;64.0;57.0;50.0;47.0;62.0;50.0;50.0;;;;;;;;;0.0;;;0.0;;;;0.0;;;;;0.0;;43.0;0.0;50.0;36.0;;;40.0;0.0;30.0;0.0;;Active (Other)
11072297;50.0;;42.0;;;;50.0;;;;60.0;90.0;65.0;53.0;54.0;56.0;58.0;61.0;59.0;65.0;50.0;;;;;;;;38.0;;;;;;;;;50.0;;;;51.0;39.0;0.0;50.0;60.0;;50.0;;50.0;50.0;52.0;40.0;45.0;;Graduated_3
11072360;60.0;65.0;;39.0;;;75.0;;;18.0;50.0;87.0;68.0;68.0;50.0;75.0;62.0;56.0;54.0;72.0;50.0;68.0;;;;;;;;;51.0;;;;;;54.0;44.0;;;;56.0;;;55.0;52.0;;50.0;;72.0;59.0;;61.0;59.0;;Graduated_1
11072793;40.0;;30.0;41.0;;;26.0;40.0;;50.0;37.0;82.0;55.0;50.0;44.0;52.0;50.0;50.0;50.0;50.0;36.0;;;;;;;;;;;;;;;;;37.0;;;42.0;38.0;;0.0;27.0;51.0;57.0;40.0;;;35.0;40.0;0.0;0.0;;Discontinued
11073234;50.0;;50.0;;;;65.0;;;;51.0;96.0;66.0;58.0;58.0;55.0;63.0;51.0;61.0;56.0;64.0;;;;;;;;60.0;;;;;;;;;50.0;;;;50.0;50.0;0.0;56.0;40.0;79.0;42.0;;58.0;63.0;;53.0;56.0;;Graduated_1
11073307;;;33.0;62.0;;;50.0;;;;54.0;69.0;51.0;50.0;62.0;53.0;46.0;57.0;64.0;53.0;68.0;;;;;;;;;;;;;;;;;;;;;;;;50.0;60.0;61.0;37.0;;;;;;;0.0;Graduated (T)
11073315;;;24.0;;;79.0;;0.0;;;38.0;;;;;;;;;;50.0;;;;;;;;;;;;;;;;34.0;0.0;77.0;69.0;;;;;54.0;40.0;;40.0;;;;;;;;Graduated (T)
11073340;;;37.0;;;;;;;;35.0;;62.0;;;72.0;64.0;;;50.0;;;;;;;;;;;;;;;;;;;;;;;;0.0;24.0;43.0;;0.0;;;;;;;;Discontinued
11073625;;;52.0;;;71.0;;52.0;;;60.0;;;;;;;;;;59.0;;;;;;;;;;;;;;;;39.0;;55.0;70.0;;;;0.0;61.0;67.0;;63.0;;;;;;;;Discontinued
11073846;73.0;64.0;63.0;;;84.0;;68.0;67.0;;76.0;98.0;;;;;;;;;59.0;69.0;86.0;70.0;61.0;78.0;65.0;67.0;85.0;0.0;62.0;74.0;76.0;81.0;67.0;65.0;53.0;;75.0;70.0;;56.0;;0.0;71.0;72.0;;60.0;;67.0;66.0;;66.0;77.0;;Graduated_0
11073862;;;71.0;;;84.0;;50.0;;;59.0;;;;;;;;;;64.0;;;;;;;;;;;;;;;;55.0;;79.0;68.0;;50.0;;0.0;76.0;69.0;;65.0;;;;;;;;Discontinued
11073889;;;52.0;;;69.0;;41.0;;54.0;;;;;;;;;;;50.0;;;;;;;;;;;;;;;;;;69.0;71.0;;0.0;;;59.0;50.0;;40.0;;;;;;;0.0;Discontinued
11074452;50.0;51.0;;60.0;;79.0;67.0;;63.0;69.0;;95.0;;;;;;;;;67.0;59.0;80.0;50.0;56.0;58.0;48.0;74.0;74.0;0.0;48.0;50.0;65.0;48.0;65.0;68.0;;44.0;82.0;59.0;;54.0;;;75.0;68.0;;50.0;;52.0;52.0;;50.0;62.0;0.0;Graduated_1
11074622;;;;34.0;;;;;;44.0;43.0;;50.0;;;50.0;43.0;;;50.0;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;;;0.0;Discontinued
11074664;71.0;71.0;54.0;;;86.0;;81.0;;;75.0;98.0;;;;;;;;;54.0;83.0;;;;;;;;;62.0;;;;;;61.0;;79.0;84.0;;59.0;;;76.0;77.0;;57.0;;50.0;52.0;;55.0;59.0;;Graduated_0
11074834;67.0;70.0;58.0;;;;50.0;;;;55.0;100.0;71.0;61.0;57.0;58.0;75.0;62.0;64.0;62.0;50.0;73.0;;;;;;;;;50.0;;;;;;;50.0;;;;55.0;;;50.0;65.0;;50.0;85.0;44.0;50.0;;51.0;52.0;0.0;Graduated_3
11075466;67.0;50.0;71.0;;;75.0;;73.0;63.0;75.0;;95.0;;;;;;;;;55.0;66.0;;;;;;;64.0;;;;;;;;;;78.0;67.0;;66.0;67.0;;89.0;81.0;;81.0;;71.0;75.0;;72.0;55.0;0.0;Graduated_0
11075661;69.0;53.0;;41.0;;;27.0;37.0;50.0;26.0;37.0;65.0;55.0;30.0;75.0;67.0;54.0;56.0;41.0;67.0;64.0;66.0;72.0;59.0;65.0;53.0;51.0;52.0;42.0;0.0;43.0;48.0;41.0;38.0;58.0;40.0;;52.0;;;52.0;39.0;;;50.0;60.0;;50.0;61.0;49.0;42.0;58.0;0.0;50.0;0.0;Active (BEng)
11075946;50.0;51.0;50.0;;;;50.0;;;;55.0;98.0;71.0;50.0;64.0;77.0;77.0;50.0;67.0;79.0;64.0;59.0;;;51.0;;;;53.0;;53.0;;;47.0;;;;45.0;;;;35.0;;;55.0;75.0;;63.0;56.0;33.0;53.0;;57.0;55.0;0.0;Graduated_2
11075989;50.0;58.0;53.0;;74.0;72.0;;57.0;61.0;;67.0;88.0;;;;;;;;;50.0;67.0;;;;;;;36.0;;43.0;;44.0;;;;50.0;;82.0;66.0;38.0;34.0;;;59.0;60.0;;50.0;51.0;39.0;55.0;;55.0;50.0;0.0;Active (BEng)
11076039;50.0;51.0;54.0;;;77.0;55.0;43.0;41.0;;64.0;97.0;;;;;;;;;50.0;79.0;;53.0;47.0;48.0;44.0;56.0;52.0;0.0;39.0;54.0;43.0;42.0;41.0;50.0;50.0;;78.0;62.0;62.0;0.0;;0.0;50.0;50.0;60.0;38.0;50.0;42.0;43.0;66.0;40.0;42.0;;Active (BEng)
11076080;0.0;39.0;61.0;;69.0;72.0;;63.0;0.0;;58.0;84.0;;;;;;;;;57.0;69.0;;;;;;;0.0;;30.0;;63.0;51.0;;;50.0;;;;;50.0;39.0;;52.0;61.0;;60.0;;60.0;50.0;62.0;0.0;50.0;;Active (BEng)
11076102;52.0;;52.0;;;83.0;62.0;42.0;;;61.0;0.0;;;;;;;;;75.0;;;;;;;;73.0;;;;;;;;52.0;;69.0;61.0;;50.0;42.0;0.0;54.0;55.0;62.0;36.0;;59.0;50.0;;59.0;50.0;;Graduated_3
11076365;90.0;;55.0;;;84.0;;63.0;;;64.0;86.0;;;;;;;;;70.0;;;;;;;;82.0;;;;;;;;50.0;;85.0;86.0;;52.0;36.0;0.0;75.0;80.0;;78.0;;79.0;77.0;;59.0;71.0;;Graduated_1
11077248;;;;45.0;;;54.0;;;50.0;;;61.0;38.0;58.0;57.0;50.0;34.0;34.0;50.0;72.0;;;;;;;;;;;;;;;;;0.0;;;;0.0;;;50.0;40.0;0.0;0.0;;;;;;;0.0;Graduated (T)
11077353;;;;59.0;;82.0;50.0;;;62.0;;;;;;;;;;;72.0;;;;;;;;;;;;;;;;;52.0;66.0;78.0;;50.0;;;70.0;72.0;;60.0;;;;;;;0.0;Graduated (T)
11077388;52.0;63.0;25.0;41.0;;;57.0;;;28.0;32.0;80.0;62.0;50.0;52.0;64.0;57.0;51.0;50.0;60.0;50.0;70.0;;;52.0;;;;0.0;;47.0;;;51.0;;;50.0;37.0;;;52.0;35.0;;;43.0;40.0;;50.0;;50.0;52.0;63.0;38.0;62.0;0.0;Graduated_2
11077647;;;;;;;;;;;0.0;;50.0;;;;36.0;;;35.0;;;;;;;;;;;;;;;;;;;;;;;;;39.0;0.0;;0.0;;;;;;;;Discontinued
11077876;52.0;;69.0;;;80.0;;78.0;;;65.0;82.0;;;;;;;;;72.0;;;;;;;;66.0;;;;;;;;57.0;;63.0;66.0;;75.0;63.0;0.0;78.0;81.0;;66.0;;68.0;50.0;;68.0;56.0;;Graduated_0
11077914;57.0;66.0;;43.0;;75.0;59.0;;;53.0;;95.0;;;;;;;;;63.0;74.0;;;55.0;;;;62.0;;56.0;;;58.0;;;56.0;0.0;;;;40.0;;;50.0;67.0;;50.0;;53.0;51.0;;50.0;66.0;0.0;Graduated_1
11078554;67.0;;80.0;;;;81.0;;;;71.0;99.0;74.0;80.0;64.0;77.0;80.0;82.0;72.0;86.0;74.0;;;;;;;;74.0;;;;;;;;;64.0;;;;61.0;75.0;0.0;71.0;90.0;;75.0;;70.0;78.0;;78.0;72.0;;Graduated_1
11078741;55.0;;51.0;;;;58.0;;;;63.0;81.0;57.0;66.0;54.0;74.0;60.0;67.0;65.0;75.0;50.0;;;;;;;;66.0;;;;;;;;61.0;0.0;;;;60.0;50.0;0.0;60.0;56.0;;61.0;;53.0;70.0;;51.0;70.0;;Graduated_1
11078911;50.0;73.0;;55.0;77.0;76.0;61.0;;;62.0;;86.0;;;;;;;;;41.0;64.0;;;42.0;;;;72.0;;50.0;;;65.0;;;50.0;36.0;71.0;67.0;58.0;43.0;;;60.0;50.0;;51.0;;59.0;61.0;;71.0;61.0;0.0;Graduated_1
11078937;46.0;;38.0;;;;0.0;44.0;;;23.0;73.0;59.0;53.0;54.0;67.0;55.0;53.0;54.0;75.0;50.0;;;;;;;;51.0;;;;;;;;;30.0;;;54.0;40.0;0.0;0.0;44.0;36.0;;52.0;45.0;40.0;34.0;52.0;35.0;41.0;;Active (BEng)
11079259;;;;43.0;;;;;;50.0;;;45.0;;;65.0;35.0;;;50.0;;;;;;;;;;;;;;;;;;;;;;;;;31.0;;;33.0;;;;;;;0.0;Graduated (T)
11079674;59.0;;53.0;;85.0;70.0;;57.0;;;53.0;97.0;;;;;;;;;52.0;;;;;;;;42.0;;;;;;;;42.0;;80.0;77.0;;51.0;61.0;0.0;50.0;56.0;;50.0;;64.0;34.0;75.0;45.0;62.0;;Graduated_2
11079682;60.0;65.0;;50.0;;76.0;45.0;53.0;;38.0;57.0;100.0;;;;;;;;;56.0;72.0;;;54.0;;;;64.0;;57.0;;;50.0;;;37.0;;54.0;60.0;61.0;;;;46.0;50.0;79.0;44.0;;58.0;41.0;;50.0;59.0;0.0;Graduated_1
11079925;58.0;57.0;;50.0;;71.0;60.0;;46.0;68.0;;80.0;;;;;;;;;76.0;62.0;64.0;58.0;50.0;59.0;55.0;61.0;76.0;0.0;50.0;50.0;40.0;39.0;55.0;53.0;50.0;44.0;68.0;51.0;;40.0;;;67.0;60.0;;51.0;60.0;38.0;56.0;;63.0;50.0;0.0;Graduated_2
11080052;57.0;71.0;;50.0;;72.0;50.0;;;50.0;;83.0;;;;;;;;;75.0;70.0;;;59.0;;;;71.0;;60.0;;;69.0;;;;38.0;58.0;65.0;;57.0;;;60.0;60.0;;52.0;;64.0;56.0;;50.0;51.0;0.0;Graduated_0
11080061;64.0;50.0;;64.0;;75.0;56.0;;59.0;56.0;;89.0;;;;;;;;;67.0;63.0;80.0;63.0;68.0;66.0;58.0;56.0;68.0;0.0;59.0;58.0;77.0;71.0;69.0;68.0;;54.0;80.0;88.0;;54.0;;;70.0;71.0;;69.0;;75.0;69.0;;61.0;68.0;0.0;Graduated_0
11080303;61.0;;56.0;;63.0;81.0;;67.0;;;83.0;73.0;;;;;;;;;68.0;;;;;;;;61.0;;;;;;;;54.0;;;;;50.0;50.0;0.0;88.0;89.0;;81.0;;58.0;60.0;;61.0;75.0;;Graduated_1
11080354;44.0;;50.0;;;;37.0;39.0;38.0;;51.0;94.0;63.0;39.0;52.0;73.0;57.0;;57.0;58.0;43.0;;;;;;;;40.0;;;;;;;;;;;;;53.0;28.0;;55.0;41.0;;50.0;;0.0;47.0;51.0;41.0;33.0;0.0;Active (BEng)
11080516;;;;0.0;;;;;;34.0;38.0;80.0;55.0;;54.0;57.0;53.0;54.0;;50.0;34.0;;;;;;;;;;;;;;;;;;;;;;;;26.0;40.0;;;;;;;;;;Graduated (T)
11080613;50.0;54.0;;51.0;;;57.0;;51.0;44.0;51.0;87.0;57.0;58.0;53.0;61.0;65.0;62.0;66.0;72.0;50.0;69.0;;;;;;;50.0;;59.0;;50.0;;;;51.0;;;;50.0;43.0;;;54.0;57.0;;53.0;66.0;41.0;67.0;;50.0;50.0;0.0;Graduated_2
11080630;;;32.0;;;;;;;;32.0;;50.0;;;;27.0;;;19.0;;;;;;;;;;;;;;;;;;;;;;;;;34.0;0.0;;;;;;;;;0.0;Discontinued
11082438;55.0;65.0;32.0;;;;53.0;;58.0;;63.0;69.0;64.0;57.0;50.0;71.0;62.0;64.0;65.0;78.0;50.0;74.0;78.0;69.0;54.0;62.0;59.0;64.0;57.0;0.0;57.0;75.0;62.0;66.0;80.0;71.0;;44.0;;;;70.0;;0.0;61.0;57.0;;50.0;;68.0;50.0;80.0;36.0;64.0;;Graduated_2
11082802;70.0;50.0;;57.0;;;69.0;;51.0;50.0;;95.0;69.0;65.0;59.0;53.0;66.0;52.0;59.0;54.0;50.0;73.0;72.0;57.0;57.0;53.0;59.0;55.0;55.0;0.0;53.0;63.0;53.0;53.0;62.0;60.0;;41.0;;;52.0;42.0;;;50.0;50.0;69.0;42.0;;50.0;58.0;;50.0;50.0;0.0;Graduated_2
11082837;;;;37.0;82.0;76.0;16.0;;;50.0;;;;;;;;;;;71.0;;;;;;;;;;;;;;;;;;75.0;69.0;;;;;;;;;;;;;;;0.0;Discontinued
11083672;50.0;69.0;46.0;39.0;;60.0;;50.0;40.0;50.0;;75.0;;;;;;;;;38.0;68.0;67.0;58.0;51.0;60.0;61.0;78.0;60.0;0.0;56.0;52.0;57.0;50.0;54.0;61.0;32.0;39.0;62.0;52.0;52.0;37.0;;;31.0;40.0;59.0;0.0;72.0;43.0;42.0;57.0;40.0;57.0;0.0;Active (BEng)
11083761;50.0;;44.0;57.0;;79.0;;41.0;;;62.0;83.0;;;;;;;;;67.0;;;;;;;;40.0;;;;;;;;45.0;;80.0;69.0;;43.0;50.0;0.0;52.0;71.0;;50.0;56.0;43.0;44.0;60.0;46.0;62.0;;Graduated_2
11083868;;;36.0;;77.0;79.0;;0.0;;;0.0;;;;;;;;;;63.0;;;;;;;;;;;;;;;;32.0;;82.0;66.0;;;;0.0;56.0;0.0;;;;;;;;;;Discontinued
11083965;69.0;;52.0;;69.0;67.0;;64.0;;59.0;;0.0;;;;;;;;;50.0;;;;;;;;57.0;;;;;;;;59.0;46.0;54.0;57.0;;50.0;40.0;0.0;63.0;51.0;;56.0;;52.0;45.0;68.0;40.0;61.0;;Graduated_1
11084236;50.0;57.0;56.0;;;81.0;;56.0;52.0;59.0;;100.0;;;;;;;;;58.0;81.0;;;;;;;67.0;;;;;;;;;;85.0;73.0;;;50.0;;69.0;76.0;;50.0;;56.0;50.0;;56.0;57.0;0.0;Graduated_1
11084279;50.0;58.0;50.0;;;78.0;;62.0;0.0;50.0;;94.0;;;;;;;;;0.0;68.0;;;;;;;56.0;;;;;;;;;;75.0;80.0;;50.0;54.0;;67.0;64.0;;57.0;;55.0;69.0;;57.0;51.0;0.0;Graduated_1
11084589;54.0;66.0;38.0;;;69.0;;59.0;;;50.0;79.0;;;;;;;;;50.0;66.0;;;;;;;;;64.0;;;;;;48.0;;;;;58.0;;;58.0;63.0;50.0;41.0;71.0;43.0;40.0;68.0;42.0;50.0;;Graduated_2
11084775;56.0;66.0;;58.0;;67.0;68.0;;50.0;75.0;;93.0;;;;;;;;;77.0;62.0;62.0;50.0;60.0;68.0;59.0;59.0;76.0;0.0;67.0;62.0;77.0;66.0;66.0;62.0;;40.0;58.0;61.0;;75.0;;;86.0;75.0;;56.0;;60.0;64.0;;71.0;53.0;0.0;Graduated_1
11084988;;;;0.0;;;;;;24.0;;;60.0;;;55.0;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;50.0;0.0;;0.0;;;;;;;0.0;Discontinued
11085160;76.0;63.0;;68.0;76.0;81.0;66.0;;56.0;72.0;;99.0;;;;;;;;;81.0;66.0;69.0;75.0;70.0;76.0;58.0;55.0;80.0;0.0;65.0;64.0;73.0;69.0;70.0;54.0;;52.0;;;;58.0;;;81.0;81.0;;65.0;;65.0;58.0;;67.0;71.0;0.0;Graduated_0
11085348;;;50.0;;;75.0;;44.0;;;31.0;;;;;;;;;;67.0;;;;;;;;;;;;;;;;43.0;;56.0;80.0;;;;0.0;27.0;40.0;;;;;;;;;;Discontinued
11085462;;;;50.0;78.0;79.0;50.0;;;61.0;;;;;;;;;;;73.0;;;;;;;;;;;;;;;;;47.0;84.0;79.0;;;;;56.0;63.0;;50.0;;;;;;;0.0;Discontinued
11085569;;;;;;;;;;40.0;;;58.0;;;48.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.0;;;;;;;;;;;Discontinued
11085887;70.0;70.0;65.0;;;79.0;;83.0;;;64.0;88.0;;;;;;;;;69.0;85.0;;;;;;;;;57.0;;;;;;63.0;;73.0;85.0;;60.0;;;90.0;76.0;;66.0;;56.0;66.0;;59.0;70.0;;Graduated_0
11086107;38.0;57.0;36.0;;;;33.0;50.0;;;52.0;75.0;58.0;50.0;59.0;55.0;57.0;50.0;50.0;47.0;62.0;68.0;;;35.0;;;;38.0;;33.0;;;37.0;;;36.0;42.0;;;50.0;0.0;;;50.0;54.0;52.0;0.0;25.0;0.0;40.0;52.0;40.0;55.0;0.0;Active (BEng)
11086191;;;;0.0;0.0;;31.0;31.0;;0.0;;;;;;;;;;;50.0;;;;;;;;;;;;;;;;;0.0;;;0.0;0.0;;;50.0;0.0;0.0;0.0;;;;;;;0.0;Discontinued
11086701;60.0;50.0;;50.0;76.0;75.0;50.0;;64.0;50.0;;92.0;;;;;;;;;72.0;79.0;80.0;59.0;60.0;66.0;59.0;66.0;50.0;;50.0;55.0;71.0;76.0;69.0;59.0;;50.0;60.0;65.0;;42.0;;;63.0;65.0;;54.0;;60.0;68.0;;53.0;65.0;0.0;Discontinued
11086743;51.0;;43.0;;;;64.0;;;;61.0;85.0;52.0;51.0;60.0;62.0;60.0;59.0;62.0;59.0;64.0;;;;;;;;57.0;;;;;;;;;50.0;;;;50.0;50.0;0.0;50.0;50.0;;50.0;;62.0;41.0;;53.0;50.0;;Graduated_1
11086913;50.0;;50.0;;93.0;75.0;;64.0;;;65.0;90.0;;;;;;;;;54.0;;;;;;;;0.0;;;;;;;;50.0;;78.0;86.0;56.0;42.0;39.0;0.0;50.0;79.0;;50.0;59.0;36.0;51.0;;61.0;50.0;;Active (BEng)
11086948;50.0;;50.0;;;;56.0;;;;64.0;88.0;57.0;57.0;61.0;63.0;62.0;50.0;67.0;67.0;64.0;;;;;;;;65.0;;;;;;;;;42.0;;;;59.0;50.0;0.0;56.0;41.0;53.0;45.0;50.0;41.0;52.0;;50.0;50.0;;Graduated_2
11087537;74.0;;50.0;;;79.0;;31.0;;63.0;35.0;0.0;;;;;;;;;61.0;;;;;;;;84.0;;;;;;;;29.0;;59.0;78.0;52.0;31.0;0.0;0.0;50.0;51.0;57.0;37.0;;;0.0;53.0;40.0;36.0;;Discontinued
11087707;64.0;;30.0;;72.0;77.0;;53.0;;;59.0;79.0;;;;;;;;;70.0;;;;;;;;55.0;;;;;;;;37.0;50.0;58.0;65.0;;52.0;52.0;0.0;36.0;67.0;;50.0;;53.0;52.0;;71.0;56.0;;Graduated_2
11087821;;;0.0;;;;;;;;;;30.0;;;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;Discontinued
11087847;;;32.0;;75.0;;;;;;;;;;;;;;;;68.0;;;;;;;;;;;;;;;;34.0;;58.0;;;;;;40.0;;;;;;;;;;;Discontinued
11087872;;;35.0;31.0;;81.0;29.0;;;26.0;;;;;;;;;;;50.0;;;;;;;;50.0;;;;;;;;0.0;0.0;50.0;57.0;;;;;44.0;37.0;54.0;44.0;;;;;22.0;;0.0;Discontinued
11087898;;;50.0;;;80.0;;59.0;;69.0;;;;;;;;;;;59.0;;;;;;;;;;;;;;;;;;62.0;60.0;;52.0;;;70.0;71.0;;51.0;;;;;;;0.0;Discontinued
11087961;54.0;;52.0;;;;65.0;;;;51.0;89.0;58.0;63.0;60.0;68.0;60.0;52.0;67.0;60.0;70.0;;;;;;;;56.0;;;;;;;;;56.0;;;;59.0;50.0;0.0;62.0;53.0;50.0;40.0;;54.0;56.0;;57.0;55.0;;Graduated_1
11088542;;;;0.0;;;;;;36.0;0.0;;38.0;;;50.0;;;;50.0;;;;;;;;;;;;;;;;;;;;;;;;;31.0;30.0;;;;;;;;;;Discontinued
11089017;51.0;50.0;28.0;39.0;;66.0;22.0;;0.0;32.0;25.0;65.0;;;;;;;;;70.0;68.0;56.0;50.0;57.0;50.0;55.0;50.0;45.0;0.0;50.0;40.0;50.0;31.0;53.0;59.0;;50.0;59.0;67.0;;50.0;;;47.0;52.0;61.0;40.0;50.0;0.0;42.0;;50.0;44.0;0.0;Graduated_3
11089459;71.0;76.0;;58.0;75.0;80.0;66.0;;;62.0;;86.0;;;;;;;;;50.0;77.0;;;76.0;;;;69.0;;77.0;;;76.0;;;;50.0;81.0;72.0;;42.0;;;80.0;88.0;;79.0;;81.0;80.0;;87.0;87.0;0.0;Graduated_1
11089513;52.0;;;43.0;69.0;75.0;50.0;;;52.0;;65.0;;;;;;;;;50.0;;72.0;;;;;;;;;;;;;;;40.0;68.0;59.0;;41.0;;;51.0;50.0;54.0;43.0;;;;55.0;40.0;50.0;0.0;Discontinued
11090121;;;26.0;;;;;;;;31.0;;48.0;;;55.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;33.0;0.0;;;;;;;;;;Discontinued
11090457;50.0;56.0;30.0;;;;64.0;;;;56.0;83.0;50.0;59.0;67.0;66.0;53.0;61.0;61.0;68.0;60.0;64.0;;;67.0;;;;67.0;;58.0;;;58.0;;;;50.0;;;;58.0;;;53.0;50.0;;54.0;;68.0;70.0;;54.0;60.0;0.0;Graduated_1
